PLANNO,LINENO,TIMESTART,TIMEEND,NUMBERFLD,LOCNO,RESNO
P100,1,2018-10-25 08:00:00,2018-10-25 17:00:00,2,L100,R100
P100,2,2018-10-25 12:00:00,2018-10-25 17:00:00,2,L101,R101
P100,3,2018-10-25 07:00:00,2018-10-25 16:30:00,1,L102,R102
P100,4,2018-10-25 18:00:00,2018-10-25 22:00:00,2,L100,R102
P101,1,2018-12-03 18:00:00,2018-12-03 20:00:00,2,L103,R100
P101,2,2018-12-03 18:30:00,2018-12-03 19:00:00,4,L105,R100
P101,3,2018-12-03 19:00:00,2018-12-03 20:00:00,2,L103,R103
P102,1,2018-12-05 18:00:00,2018-12-05 19:00:00,2,L103,R100
P102,2,2018-12-05 18:00:00,2018-12-05 21:00:00,4,L105,R100
P102,3,2018-12-05 19:00:00,2018-12-05 22:00:00,2,L103,R103
P103,1,2018-12-12 18:00:00,2018-12-12 21:00:00,2,L103,R100
P103,2,2018-12-12 18:00:00,2018-12-12 21:00:00,4,L105,R100
P103,3,2018-12-12 19:00:00,2018-12-12 22:00:00,2,L103,R103
P104,1,2018-10-26 18:00:00,2018-10-26 22:00:00,4,L101,R104
P104,2,2018-10-26 18:00:00,2018-10-26 22:00:00,4,L100,R104
P105,1,2018-10-25 18:00:00,2018-10-25 22:00:00,4,L101,R104
P105,2,2018-10-25 18:00:00,2018-10-25 22:00:00,4,L100,R104
P199,1,2018-12-10 08:00:00,2018-12-10 12:00:00,1,L100,R100
P349,1,2018-12-12 12:00:00,2018-12-12 15:30:00,1,L103,R100
P85,1,2018-10-25 09:00:00,2018-10-25 17:00:00,5,L100,R100
P85,2,2018-10-25 08:00:00,2018-10-25 17:00:00,2,L102,R101
P85,3,2018-10-25 10:00:00,2018-10-25 15:00:00,3,L104,R100
P95,1,2018-10-26 08:00:00,2018-10-26 17:00:00,4,L100,R100
P95,2,2018-10-26 09:00:00,2018-10-26 17:00:00,4,L102,R101
P95,3,2018-10-26 10:00:00,2018-10-26 15:00:00,4,L106,R100
P95,4,2018-10-26 13:00:00,2018-10-26 17:00:00,2,L100,R103
P95,5,2018-10-26 13:00:00,2018-10-26 17:00:00,2,L101,R104
